Depth (mbsf)	Density(g/cc)	Vp(m/s)	Vs(m/s)
439.95	1.6610	1812.02	556.56
439.80	1.6910	1819.81	563.07
439.65	1.7200	1838.58	578.10
439.50	1.7330	1838.91	578.62
439.35	1.7270	1841.91	577.21
439.20	1.7140	1851.42	567.39
439.05	1.7010	1852.32	567.43
438.90	1.7040	1849.63	567.15
438.75	1.6910	1832.83	565.82
438.60	1.6590	1834.49	561.77
438.45	1.6390	1843.25	566.18
438.30	1.6410	1835.04	558.19
438.15	1.6670	1856.84	598.73
438.00	1.6960	1856.39	589.90
437.85	1.7120	1836.59	579.45
437.70	1.7190	1858.20	616.22
437.55	1.7260	1867.99	626.09
437.40	1.7410	1865.82	614.19
437.25	1.7580	1870.51	627.21
437.10	1.7520	1870.40	630.06
436.95	1.7360	1870.28	630.30
436.80	1.7300	1870.17	629.83
436.65	1.7370	1866.50	625.27
436.50	1.7440	1862.85	623.56
436.35	1.7440	1862.06	607.18
436.20	1.7260	1860.92	602.56
436.05	1.6970	1837.14	588.29
435.90	1.6660	1832.06	581.46
435.75	1.6540	1831.73	582.25
435.60	1.6680	1838.47	590.97
435.45	1.6940	1840.36	594.60
435.30	1.7140	1840.36	594.63
435.15	1.7070	1840.58	586.49
435.00	1.6900	1825.37	577.61
434.85	1.6730	1820.79	575.19
434.70	1.6620	1829.09	577.55
434.55	1.6580	1830.96	594.66
434.40	1.6610	1835.04	601.68
434.25	1.6790	1830.52	585.74
434.10	1.7040	1828.21	578.08
433.95	1.7170	1834.49	590.86
433.80	1.7120	1838.47	599.86
433.65	1.7000	1838.91	600.61
433.50	1.6950	1837.92	600.32
433.35	1.6970	1834.82	599.46
433.20	1.7040	1833.16	599.06
433.05	1.7130	1834.82	599.23
432.90	1.7090	1834.05	599.46
432.75	1.6920	1831.40	597.80
432.60	1.6760	1832.39	596.82
432.45	1.6690	1830.74	587.07
432.30	1.6660	1819.48	567.93
432.15	1.6560	1809.12	559.40
432.00	1.6450	1808.04	560.49
431.85	1.6390	1807.40	557.67
431.70	1.6390	1805.37	549.49
431.55	1.6400	1807.08	546.95
431.40	1.6400	1808.47	546.67
431.25	1.6420	1811.37	544.94
431.10	1.6400	1815.58	543.93
430.95	1.6260	1813.75	542.44
430.80	1.6070	1809.44	536.09
430.65	1.5940	1809.44	529.75
430.50	1.5920	1806.54	530.16
430.35	1.5940	1798.12	531.24
430.20	1.6040	1800.04	531.02
430.05	1.6050	1800.35	529.59
429.90	1.6080	1800.89	523.69
429.75	1.5990	1797.17	523.58
429.60	1.5940	1795.16	523.22
429.45	1.5870	1785.28	521.61
429.30	1.5820	1779.13	521.37
429.15	1.5920	1778.50	524.97
429.00	1.6040	1776.22	536.30
428.85	1.6160	1776.22	541.50
428.70	1.6190	1779.23	544.51
428.55	1.6210	1779.96	545.56
428.40	1.6180	1779.44	545.16
428.25	1.6070	1773.43	535.82
428.10	1.5930	1772.71	534.04
427.95	1.5890	1769.42	543.19
427.80	1.5950	1772.40	545.11
427.65	1.6040	1771.99	545.48
427.50	1.6060	1771.37	556.97
427.35	1.6100	1774.26	559.31
427.20	1.6120	1776.33	568.17
427.05	1.6240	1776.22	569.18
426.90	1.6400	1781.00	572.16
426.75	1.6550	1783.50	588.37
426.60	1.6680	1795.48	606.01
426.45	1.6850	1817.42	618.00
426.30	1.7070	1820.03	616.47
426.15	1.7260	1841.47	617.53
426.00	1.7280	1861.26	639.85
425.85	1.7250	1865.36	627.10
425.70	1.7200	1864.22	633.34
425.55	1.7190	1863.88	620.55
425.40	1.7120	1851.54	582.32
425.25	1.6880	1841.69	590.96
425.10	1.6520	1856.84	604.38
424.95	1.6150	1821.22	580.79
424.80	1.5970	1811.81	569.10
424.65	1.6040	1815.69	568.35
424.50	1.6340	1823.29	573.67
424.35	1.6730	1834.71	591.82
424.20	1.7090	1829.86	600.25
424.05	1.7270	1833.82	617.70
423.90	1.7270	1848.84	632.22
423.75	1.7120	1854.92	632.40
423.60	1.6950	1853.00	630.61
423.45	1.6880	1849.96	616.48
423.30	1.6940	1848.62	604.79
423.15	1.7110	1846.38	602.49
423.00	1.7290	1845.48	606.75
422.85	1.7340	1847.38	612.75
422.70	1.7190	1843.03	610.78
422.55	1.6940	1837.25	609.77
422.40	1.6800	1837.47	608.40
422.25	1.6900	1835.15	607.78
422.10	1.7130	1837.14	615.62
421.95	1.7250	1848.62	627.66
421.80	1.7270	1843.70	617.58
421.65	1.7240	1836.48	619.26
421.50	1.7280	1850.64	628.16
421.35	1.7280	1857.18	618.91
421.20	1.7260	1852.66	632.79
421.05	1.7160	1849.74	619.34
420.90	1.7000	1833.16	585.13
420.75	1.6810	1840.69	596.73
420.60	1.6670	1847.94	593.65
420.45	1.6670	1833.05	576.94
420.30	1.6710	1821.22	579.32
420.15	1.6770	1821.55	585.00
420.00	1.6750	1825.26	581.81
419.85	1.6730	1826.02	593.24
419.70	1.6760	1826.24	597.82
419.55	1.6870	1830.74	610.58
419.40	1.7050	1835.70	610.39
419.25	1.7110	1841.80	610.53
419.10	1.7110	1843.14	611.01
418.95	1.6990	1842.69	611.14
418.80	1.6850	1842.81	614.86
418.65	1.6900	1848.17	613.80
418.50	1.7140	1861.37	624.63
418.35	1.7630	1861.49	631.62
418.20	1.7950	1866.05	618.16
418.05	1.8020	1865.02	619.10
417.90	1.8170	1864.68	639.58
417.75	1.8370	1842.69	622.37
417.60	1.8460	1837.69	615.47
417.45	1.8400	1841.69	609.43
417.30	1.8250	1852.21	633.10
417.15	1.8190	1868.56	629.19
417.00	1.7960	1868.10	638.46
416.85	1.7770	1861.26	629.87
416.70	1.7670	1828.76	596.98
416.55	1.7610	1821.66	582.87
416.40	1.7540	1835.70	591.93
416.25	1.7480	1826.90	591.82
416.10	1.7460	1819.92	577.27
415.95	1.7430	1818.72	571.89
415.80	1.7420	1820.79	569.78
415.65	1.7420	1821.66	566.65
415.50	1.7440	1805.47	563.58
415.35	1.7380	1800.99	562.43
415.20	1.7270	1802.59	565.48
415.05	1.7120	1789.15	561.91
414.90	1.7010	1776.95	556.09
414.75	1.6880	1773.85	551.70
414.60	1.6790	1777.78	544.84
414.45	1.6730	1781.10	542.41
414.30	1.6690	1778.19	542.10
414.15	1.6670	1775.60	541.71
414.00	1.6690	1775.19	540.85
413.85	1.6700	1773.12	538.49
413.70	1.6650	1772.40	537.26
413.55	1.6560	1770.96	537.24
413.40	1.6480	1760.83	538.34
413.25	1.6490	1752.13	539.36
413.10	1.6520	1751.52	538.91
412.95	1.6550	1748.91	539.73
412.80	1.6630	1748.41	541.43
412.65	1.6660	1749.81	541.52
412.50	1.6720	1751.62	544.41
412.35	1.6730	1754.55	548.73
412.20	1.6750	1753.64	548.29
412.05	1.6770	1754.04	548.01
411.90	1.6770	1754.75	548.00
411.75	1.6760	1756.57	546.31
411.60	1.6710	1756.37	546.89
411.45	1.6680	1757.38	545.66
411.30	1.6680	1760.22	541.60
411.15	1.6680	1760.43	540.91
411.00	1.6710	1758.90	539.37
410.85	1.6640	1755.66	532.68
410.70	1.6510	1751.52	533.37
410.55	1.6320	1751.02	532.97
410.40	1.6250	1748.91	530.63
410.25	1.6270	1748.11	529.49
410.10	1.6400	1746.20	529.05
409.95	1.6500	1747.21	529.05
409.80	1.6510	1747.31	529.41
409.65	1.6470	1749.91	530.35
409.50	1.6440	1749.91	530.42
409.35	1.6480	1749.61	530.80
409.20	1.6510	1749.21	529.65
409.05	1.6450	1749.51	528.99
408.90	1.6420	1749.41	529.03
408.75	1.6440	1748.81	526.37
408.60	1.6490	1748.51	528.04
408.45	1.6530	1748.51	528.01
408.30	1.6520	1747.71	528.04
408.15	1.6490	1748.01	528.05
408.00	1.6460	1748.21	526.77
407.85	1.6460	1748.01	528.68
407.70	1.6500	1747.51	532.16
407.55	1.6580	1748.21	532.53
407.40	1.6590	1747.61	531.01
407.25	1.6550	1750.11	536.44
407.10	1.6490	1751.12	540.91
406.95	1.6490	1750.42	541.65
406.80	1.6500	1750.72	541.15
406.65	1.6500	1751.93	544.23
406.50	1.6480	1752.23	545.47
406.35	1.6510	1751.93	545.99
406.20	1.6600	1752.13	548.45
406.05	1.6700	1758.80	552.00
405.90	1.6780	1762.36	554.82
405.75	1.6790	1758.90	555.50
405.60	1.6830	1760.12	554.76
405.45	1.6900	1764.09	553.63
405.30	1.6980	1765.63	551.96
405.15	1.7030	1765.63	554.51
405.00	1.7050	1765.52	555.10
404.85	1.7060	1769.83	556.38
404.70	1.7090	1773.12	558.42
404.55	1.7130	1773.43	560.82
404.40	1.7190	1777.88	566.58
404.25	1.7270	1782.87	572.60
404.10	1.7360	1784.02	575.00
403.95	1.7450	1784.33	577.10
403.80	1.7500	1782.14	580.96
403.65	1.7500	1780.58	582.15
403.50	1.7440	1782.56	581.77
403.35	1.7350	1782.98	581.96
403.20	1.7250	1784.75	572.68
403.05	1.7170	1786.74	557.96
402.90	1.7040	1786.84	554.13
402.75	1.6900	1785.17	545.04
402.60	1.6820	1781.94	540.49
402.45	1.6830	1780.48	540.58
402.30	1.6860	1781.21	541.06
402.15	1.6860	1778.30	540.95
402.00	1.6880	1778.50	542.39
401.85	1.7010	1778.82	544.94
401.70	1.7130	1779.96	552.34
401.55	1.7260	1781.73	553.65
401.40	1.7260	1782.87	557.48
401.25	1.7260	1786.74	559.08
401.10	1.7250	1788.00	559.44
400.95	1.7200	1794.42	560.20
400.80	1.7250	1793.36	561.14
400.65	1.7240	1793.05	561.36
400.50	1.7280	1792.20	560.93
400.35	1.7240	1786.43	559.54
400.20	1.7240	1785.59	560.62
400.05	1.7250	1784.33	561.64
399.90	1.7330	1784.44	563.20
399.75	1.7350	1786.53	570.18
399.60	1.7440	1787.58	573.60
399.45	1.7420	1799.29	576.65
399.30	1.7450	1800.78	584.88
399.15	1.7510	1805.90	585.41
399.00	1.7640	1806.44	585.52
398.85	1.7700	1806.54	588.83
398.70	1.7710	1824.93	601.34
398.55	1.7700	1826.68	603.23
398.40	1.7730	1826.35	603.98
398.25	1.7720	1831.29	603.91
398.10	1.7650	1835.04	602.62
397.95	1.7580	1835.81	602.55
397.80	1.7560	1834.71	593.64
397.65	1.7560	1832.61	595.34
397.50	1.7550	1833.27	595.50
397.35	1.7470	1831.84	587.61
397.20	1.7430	1832.17	583.39
397.05	1.7370	1831.73	588.51
396.90	1.7330	1830.85	589.24
396.75	1.7320	1824.71	576.44
396.60	1.7360	1822.53	570.51
396.45	1.7450	1821.77	566.36
396.30	1.7520	1817.42	564.72
396.15	1.7560	1815.37	564.63
396.00	1.7550	1815.47	564.60
395.85	1.7510	1815.80	564.49
395.70	1.7470	1816.12	563.88
395.55	1.7460	1816.66	564.10
395.40	1.7470	1813.42	563.84
395.25	1.7480	1811.05	566.99
395.10	1.7490	1810.62	572.31
394.95	1.7500	1811.91	572.43
394.80	1.7480	1814.72	572.60
394.65	1.7410	1813.85	574.62
394.50	1.7290	1811.59	569.80
394.35	1.7210	1808.58	559.69
394.20	1.7190	1810.08	557.96
394.05	1.7190	1815.04	564.50
393.90	1.7150	1800.04	561.63
393.75	1.7060	1781.10	550.89
393.60	1.7020	1781.31	546.33
393.45	1.7010	1781.21	546.31
393.30	1.7030	1779.44	546.82
393.15	1.7030	1780.06	551.28
393.00	1.7000	1783.08	550.03
392.85	1.7030	1779.33	552.11
392.70	1.7160	1783.29	558.41
392.55	1.7330	1783.71	560.29
392.40	1.7460	1784.44	560.15
392.25	1.7420	1787.26	561.62
392.10	1.7390	1786.64	566.37
391.95	1.7420	1784.13	565.25
391.80	1.7660	1776.22	553.21
391.65	1.7820	1775.40	559.11
391.50	1.8020	1772.61	552.44
391.35	1.7950	1774.57	548.33
391.20	1.7820	1785.80	545.46
391.05	1.7600	1794.31	555.26
390.90	1.7570	1796.64	560.38
390.75	1.7700	1798.02	569.60
390.60	1.7800	1791.04	573.68
390.45	1.7860	1790.73	573.82
390.30	1.7920	1791.47	573.88
390.15	1.7930	1784.65	564.48
390.00	1.7870	1807.72	573.65
389.85	1.7740	1786.95	576.58
389.70	1.7610	1808.15	568.74
389.55	1.7600	1816.99	566.47
389.40	1.7590	1808.69	569.92
389.25	1.7690	1815.58	570.74
389.10	1.7690	1825.48	568.14
388.95	1.7730	1824.71	568.55
388.80	1.7740	1822.53	572.96
388.65	1.7770	1824.38	572.78
388.50	1.7720	1819.16	574.31
388.35	1.7710	1824.06	572.37
388.20	1.7700	1821.22	573.08
388.05	1.7760	1821.88	577.63
387.90	1.7740	1821.99	579.47
387.75	1.7770	1819.38	579.83
387.60	1.7740	1819.70	575.69
387.45	1.7750	1812.34	574.63
387.30	1.7750	1809.55	574.76
387.15	1.7740	1809.33	575.72
387.00	1.7710	1806.22	575.51
386.85	1.7660	1804.19	574.94
386.70	1.7640	1804.40	573.18
386.55	1.7630	1813.21	566.67
386.40	1.7680	1816.56	563.88
386.25	1.7790	1815.15	564.85
386.10	1.7880	1812.02	567.28
385.95	1.7900	1811.27	568.17
385.80	1.7880	1812.24	566.75
385.65	1.7870	1812.34	564.75
385.50	1.7870	1809.33	563.97
385.35	1.7850	1806.65	563.83
385.20	1.7770	1806.44	563.61
385.05	1.7710	1814.61	564.59
384.90	1.7710	1821.66	565.70
384.75	1.7730	1820.68	566.12
384.60	1.7740	1820.24	567.09
384.45	1.7740	1811.81	566.31
384.30	1.7800	1804.19	563.66
384.15	1.7860	1804.51	563.76
384.00	1.7910	1805.47	565.48
383.85	1.7940	1805.90	567.63
383.70	1.7970	1808.37	573.32
383.55	1.7970	1814.83	579.30
383.40	1.7930	1816.45	574.11
383.25	1.7910	1815.69	572.30
383.10	1.7870	1815.47	568.76
382.95	1.7830	1813.31	568.69
382.80	1.7820	1813.42	568.79
382.65	1.7880	1813.75	568.57
382.50	1.7970	1814.39	572.78
382.35	1.7980	1814.07	571.91
382.20	1.7970	1815.15	571.45
382.05	1.7870	1815.26	571.75
381.90	1.7870	1816.12	572.57
381.75	1.7810	1816.02	575.32
381.60	1.7810	1811.48	572.34
381.45	1.7770	1810.08	563.79
381.30	1.7730	1809.87	564.35
381.15	1.7690	1809.87	564.32
381.00	1.7690	1814.07	570.52
380.85	1.7720	1825.04	570.71
380.70	1.7770	1823.62	571.37
380.55	1.7660	1815.26	571.49
380.40	1.7580	1815.26	569.69
380.25	1.7460	1812.56	550.15
380.10	1.7410	1812.67	551.37
379.95	1.7260	1813.10	550.54
379.80	1.7210	1809.87	541.91
379.65	1.7200	1802.91	541.25
379.50	1.7260	1802.38	546.06
379.35	1.7330	1803.02	546.59
379.20	1.7400	1803.44	546.94
379.05	1.7470	1802.80	550.79
378.90	1.7530	1802.27	558.38
378.75	1.7560	1802.06	560.13
378.60	1.7590	1799.19	558.96
378.45	1.7670	1788.00	555.73
378.30	1.7690	1783.39	552.44
378.15	1.7680	1783.39	551.38
378.00	1.7600	1782.66	548.61
377.85	1.7580	1778.61	550.80
377.70	1.7610	1779.54	552.09
377.55	1.7690	1780.48	552.62
377.40	1.7810	1785.28	557.29
377.25	1.7960	1796.75	568.40
377.10	1.8090	1799.93	571.70
376.95	1.8150	1790.41	571.25
376.80	1.8110	1795.79	570.47
376.65	1.8010	1804.83	565.46
376.50	1.7910	1806.54	565.85
376.35	1.7860	1806.33	570.20
376.20	1.7850	1804.40	564.18
376.05	1.7810	1803.98	558.71
375.90	1.7760	1804.72	558.78
375.75	1.7700	1803.12	563.63
375.60	1.7710	1804.62	570.51
375.45	1.7750	1806.86	569.08
375.30	1.7800	1805.05	567.68
375.15	1.7860	1806.65	566.03
375.00	1.7890	1811.81	560.77
374.85	1.7800	1812.78	564.51
374.70	1.7630	1810.30	562.07
374.55	1.7510	1809.65	547.13
374.40	1.7460	1809.01	541.68
374.25	1.7480	1807.94	538.36
374.10	1.7470	1805.15	532.76
373.95	1.7480	1801.31	531.78
373.80	1.7410	1801.10	530.94
373.65	1.7270	1793.89	529.22
373.50	1.7120	1774.78	526.08
373.35	1.7050	1772.30	526.33
373.20	1.7040	1772.20	525.76
373.05	1.7060	1772.92	527.31
372.90	1.7060	1774.88	538.58
372.75	1.7050	1773.74	537.71
372.60	1.6980	1772.71	535.19
372.45	1.6950	1775.40	540.04
372.30	1.7010	1775.19	541.18
372.15	1.7160	1773.02	541.08
372.00	1.7300	1761.44	540.06
371.85	1.7310	1778.40	538.03
371.70	1.7270	1778.71	539.26
371.55	1.7220	1778.82	540.66
371.40	1.7180	1777.67	541.63
371.25	1.7150	1753.54	537.73
371.10	1.7130	1754.14	540.75
370.95	1.7160	1776.02	538.43
370.80	1.7180	1776.85	547.02
370.65	1.7220	1776.74	547.49
370.50	1.7260	1777.26	547.85
370.35	1.7310	1778.19	552.00
370.20	1.7320	1779.75	552.92
370.05	1.7340	1779.44	549.29
369.90	1.7300	1779.96	548.53
369.75	1.7250	1779.65	542.74
369.60	1.7170	1757.79	539.56
369.45	1.7120	1754.24	539.17
369.30	1.7140	1754.04	540.03
369.15	1.7200	1754.55	541.40
369.00	1.7290	1755.25	542.03
368.85	1.7320	1772.09	542.84
368.70	1.7310	1780.27	552.23
368.55	1.7230	1781.31	555.67
368.40	1.7200	1780.48	554.74
368.25	1.7250	1780.48	556.27
368.10	1.7320	1781.10	557.86
367.95	1.7350	1781.41	558.09
367.80	1.7380	1781.52	558.52
367.65	1.7430	1782.77	560.38
367.50	1.7480	1784.13	561.02
367.35	1.7480	1786.95	561.69
367.20	1.7420	1790.73	563.39
367.05	1.7360	1792.41	563.68
366.90	1.7330	1792.62	563.08
366.75	1.7340	1792.62	563.65
366.60	1.7400	1796.00	566.79
366.45	1.7430	1796.32	566.46
366.30	1.7440	1793.57	566.21
366.15	1.7400	1789.68	565.60
366.00	1.7350	1792.31	564.56
365.85	1.7340	1791.04	565.38
365.70	1.7310	1779.13	557.17
365.55	1.7250	1778.09	547.96
365.40	1.7150	1781.31	546.53
365.25	1.7050	1774.57	545.72
365.10	1.7000	1763.68	545.75
364.95	1.6980	1762.26	544.86
364.80	1.6990	1761.54	545.39
364.65	1.7070	1763.89	549.20
364.50	1.7200	1771.48	553.52
364.35	1.7320	1775.81	554.37
364.20	1.7400	1779.23	558.88
364.05	1.7410	1779.23	559.37
363.90	1.7380	1778.71	559.29
363.75	1.7330	1776.85	556.63
363.60	1.7250	1774.88	550.17
363.45	1.7170	1774.57	550.65
363.30	1.7160	1774.88	549.78
363.15	1.7200	1776.85	549.09
363.00	1.7270	1777.47	549.43
362.85	1.7320	1777.26	549.96
362.70	1.7340	1776.95	550.06
362.55	1.7430	1776.85	550.71
362.40	1.7450	1777.26	552.06
362.25	1.7490	1779.02	556.10
362.10	1.7490	1780.06	563.38
361.95	1.7460	1780.79	571.46
361.80	1.7510	1789.26	583.03
361.65	1.7550	1797.81	584.20
361.50	1.7630	1798.23	584.68
361.35	1.7610	1793.36	586.84
361.20	1.7610	1797.28	582.38
361.05	1.7610	1795.48	584.74
360.90	1.7630	1799.50	584.31
360.75	1.7700	1804.83	580.95
360.60	1.7780	1804.62	582.51
360.45	1.7870	1801.84	580.75
360.30	1.7770	1807.29	575.81
360.15	1.7680	1806.54	574.99
360.00	1.7590	1809.22	577.43
359.85	1.7590	1806.44	572.50
359.70	1.7600	1804.19	559.86
359.55	1.7640	1803.66	558.40
359.40	1.7640	1803.87	566.97
359.25	1.7600	1786.74	561.66
359.10	1.7530	1781.52	546.95
358.95	1.7500	1783.50	546.28
358.80	1.7520	1796.32	541.23
358.65	1.7540	1782.25	537.34
358.50	1.7580	1773.74	535.47
358.35	1.7600	1772.61	534.47
358.20	1.7710	1775.91	538.45
358.05	1.7760	1778.50	541.75
357.90	1.7820	1778.30	543.22
357.75	1.7800	1779.96	555.97
357.60	1.7770	1778.09	564.21
357.45	1.7720	1784.65	565.05
357.30	1.7730	1790.73	564.99
357.15	1.7770	1781.00	569.05
357.00	1.7830	1783.81	573.03
356.85	1.7890	1794.31	573.24
356.70	1.7940	1798.65	572.95
356.55	1.7980	1802.38	570.65
356.40	1.7950	1802.70	568.51
356.25	1.7830	1804.08	568.92
356.10	1.7670	1805.69	569.30
355.95	1.7550	1805.58	568.50
355.80	1.7490	1805.79	567.35
355.65	1.7490	1806.01	567.99
355.50	1.7510	1807.19	572.07
355.35	1.7570	1809.87	577.36
355.20	1.7600	1812.56	579.90
355.05	1.7590	1817.10	582.16
354.90	1.7560	1823.40	583.17
354.75	1.7490	1821.01	580.28
354.60	1.7420	1814.83	570.10
354.45	1.7330	1812.45	564.72
354.30	1.7230	1811.70	562.87
354.15	1.7130	1809.98	558.27
354.00	1.7080	1798.97	551.33
353.85	1.7070	1782.25	550.01
353.70	1.7110	1780.37	549.54
353.55	1.7040	1779.44	549.86
353.40	1.6900	1777.16	546.87
353.25	1.6760	1775.19	541.95
353.10	1.6720	1776.33	543.05
352.95	1.6800	1776.53	541.41
352.80	1.6930	1771.68	539.56
352.65	1.7060	1771.58	540.52
352.50	1.7120	1771.58	540.49
352.35	1.7080	1771.27	540.61
352.20	1.6980	1771.27	545.39
352.05	1.6900	1773.23	545.40
351.90	1.6880	1781.62	545.97
351.75	1.6920	1781.31	545.31
351.60	1.6980	1778.40	545.55
351.45	1.7040	1776.12	549.76
351.30	1.7090	1776.12	550.82
351.15	1.7160	1775.71	551.86
351.00	1.7150	1778.92	560.84
350.85	1.7110	1782.66	563.81
350.70	1.7010	1783.29	570.10
350.55	1.6900	1783.92	571.68
350.40	1.6720	1784.75	566.28
350.25	1.6520	1785.28	565.69
350.10	1.6340	1784.96	562.33
349.95	1.6270	1765.73	539.55
349.80	1.6270	1739.53	534.54
349.65	1.6240	1732.70	536.37
349.50	1.6240	1745.80	528.53
349.35	1.6260	1751.42	522.41
349.20	1.6260	1752.83	517.72
349.05	1.6270	1741.12	514.25
348.90	1.6230	1737.35	518.80
348.75	1.6280	1737.15	521.94
348.60	1.6330	1733.69	535.64
348.45	1.6400	1747.31	543.49
348.30	1.6500	1755.46	544.27
348.15	1.6520	1755.66	548.91
348.00	1.6530	1753.54	553.53
347.85	1.6500	1753.74	555.76
347.70	1.6500	1752.93	556.58
347.55	1.6520	1756.67	551.64
347.40	1.6610	1760.63	546.44
347.25	1.6700	1762.05	551.60
347.10	1.6760	1768.70	559.41
346.95	1.6750	1773.43	561.66
346.80	1.6670	1773.23	561.50
346.65	1.6570	1764.91	552.53
346.50	1.6440	1760.02	542.74
346.35	1.6320	1763.99	547.59
346.20	1.6220	1752.33	546.94
346.05	1.6220	1740.62	532.15
345.90	1.6260	1739.83	525.24
345.75	1.6240	1738.73	522.86
345.60	1.6170	1735.17	519.16
345.45	1.6090	1733.00	519.12
345.30	1.6100	1730.64	521.21
345.15	1.6140	1726.62	525.93
345.00	1.6260	1727.30	525.66
344.85	1.6330	1730.64	524.04
344.70	1.6390	1737.45	525.22
344.55	1.6480	1739.03	536.01
344.40	1.6640	1739.33	541.84
344.25	1.6800	1741.91	543.82
344.10	1.6800	1747.91	552.78
343.95	1.6680	1751.93	553.87
343.80	1.6520	1752.63	553.69
343.65	1.6430	1753.64	543.75
343.50	1.6390	1753.44	536.33
343.35	1.6400	1753.13	537.17
343.20	1.6390	1751.12	534.39
343.05	1.6400	1749.11	536.74
342.90	1.6410	1748.31	536.58
342.75	1.6460	1748.41	540.22
342.60	1.6580	1755.25	549.83
342.45	1.6860	1757.58	548.86
342.30	1.7300	1752.63	542.74
342.15	1.7670	1779.96	540.81
342.00	1.8060	1799.72	555.22
341.85	1.8590	1799.61	568.95
341.70	1.9090	1787.16	557.88
341.55	1.9670	1804.62	557.09
341.40	1.9880	1857.63	567.51
341.25	1.9850	1863.42	609.58
341.10	1.9380	1840.91	632.67
340.95	1.9150	1858.99	593.71
340.80	1.9240	1870.05	576.78
340.65	1.9500	1878.70	602.25
340.50	1.9340	1893.17	587.24
340.35	1.9010	1882.76	585.77
340.20	1.8790	1879.16	587.42
340.05	1.8350	1879.39	588.12
339.90	1.8000	1826.46	581.12
339.75	1.7200	1787.16	570.39
339.60	1.6740	1779.85	574.43
339.45	1.6390	1778.50	551.75
339.30	1.6710	1771.68	553.38
339.15	1.7540	1762.87	520.39
339.00	1.7900	1758.70	456.51
338.85	1.7660	1758.09	441.59
338.70	1.7120	1791.15	445.05
338.55	1.6780	1831.84	520.90
338.40	1.6720	1844.25	588.08
338.25	1.6760	1842.92	587.63
338.10	1.6840	1839.58	605.03
337.95	1.6920	1790.20	616.12
337.80	1.6890	1754.14	611.88
337.65	1.6790	1760.02	605.01
337.50	1.6720	1765.93	571.42
337.35	1.6730	1786.95	523.87
337.20	1.6760	1787.05	502.25
337.05	1.6790	1747.81	501.13
336.90	1.6830	1715.35	501.89
336.75	1.6900	1693.52	506.14
336.60	1.6980	1686.77	506.68
336.45	1.7170	1686.96	503.38
336.30	1.7500	1718.83	514.89
336.15	1.7730	1774.36	531.07
336.00	1.7710	1768.29	492.11
335.85	1.7440	1748.71	451.46
335.70	1.7260	1713.42	448.68
335.55	1.7190	1718.93	461.35
335.40	1.7110	1724.57	487.17
335.25	1.7000	1726.42	515.51
335.10	1.6890	1726.52	521.07
334.95	1.6780	1725.25	487.59
334.80	1.6790	1717.09	472.14
334.65	1.6840	1712.55	474.30
334.50	1.6980	1708.90	475.11
334.35	1.7200	1711.11	480.31
334.20	1.7330	1718.83	486.61
334.05	1.7440	1718.73	461.51
333.90	1.7360	1718.15	461.56
333.75	1.7320	1719.12	455.65
333.60	1.7300	1719.90	463.54
333.45	1.7500	1719.41	456.19
333.30	1.7610	1719.61	467.02
333.15	1.7640	1716.51	467.26
333.00	1.7550	1714.00	467.49
332.85	1.7570	1714.38	460.90
332.70	1.7770	1730.74	463.42
332.55	1.7700	1738.24	492.69
332.40	1.7580	1732.31	502.47
332.25	1.7450	1740.82	499.40
332.10	1.7560	1750.82	495.09
331.95	1.7690	1751.42	485.67
331.80	1.7960	1751.93	490.21
331.65	1.7890	1738.44	498.81
331.50	1.7660	1736.36	525.06
331.35	1.7260	1737.15	499.86
331.20	1.7140	1712.26	514.57
331.05	1.7100	1732.90	536.29
330.90	1.7070	1738.83	540.63
330.75	1.7000	1738.73	539.79
330.60	1.6910	1736.16	511.43
330.45	1.6850	1734.48	498.30
330.30	1.6890	1729.26	503.35
330.15	1.6960	1728.09	507.17
330.00	1.7050	1714.48	501.65
329.85	1.7070	1720.28	494.57
329.70	1.6980	1727.01	497.19
329.55	1.6780	1719.99	501.41
329.40	1.6600	1712.36	503.42
329.25	1.6500	1705.75	502.54
329.10	1.6450	1710.53	506.44
328.95	1.6390	1709.19	502.73
328.80	1.6360	1698.71	500.68
328.65	1.6350	1694.18	508.25
328.50	1.6350	1702.41	516.63
328.35	1.6320	1706.22	533.79
328.20	1.6320	1703.75	538.69
328.05	1.6360	1704.32	531.05
327.90	1.6420	1704.79	527.41
327.75	1.6470	1706.03	503.34
327.60	1.6500	1706.51	479.80
327.45	1.6580	1707.18	482.61
327.30	1.6710	1710.05	496.44
327.15	1.6860	1711.78	506.15
327.00	1.7020	1721.64	505.52
326.85	1.7140	1740.72	509.18
326.70	1.7180	1750.11	515.44
326.55	1.7190	1757.28	511.31
326.40	1.7180	1758.80	515.48
326.25	1.7210	1760.53	524.47
326.10	1.7240	1756.27	529.70
325.95	1.7250	1745.60	531.55
325.80	1.7310	1747.41	529.65
325.65	1.7330	1755.56	528.77
325.50	1.7270	1763.48	539.43
325.35	1.7130	1763.38	542.98
325.20	1.7020	1763.68	543.77
325.05	1.7050	1764.09	543.39
324.90	1.7140	1763.68	545.00
324.75	1.7280	1763.79	542.23
324.60	1.7270	1766.34	537.82
324.45	1.7170	1766.34	541.48
324.30	1.7040	1766.24	540.76
324.15	1.6980	1765.32	540.23
324.00	1.6990	1754.35	539.91
323.85	1.6930	1755.76	551.93
