Depth (mbsf)	Density(g/cc)	Vp(m/s)	Vs(m/s)
528.75	2.0200	2204.86	805.86
528.60	2.0040	2159.56	771.00
528.45	1.9920	2111.83	752.72
528.30	1.9690	2109.05	750.00
528.15	1.9370	2101.20	751.76
528.00	1.9140	2086.81	754.79
527.85	1.9160	2084.53	739.05
527.70	1.9350	2085.24	726.56
527.55	1.9530	2093.41	734.09
527.40	1.9560	2093.26	739.41
527.25	1.9360	2055.02	716.27
527.10	1.9090	2010.95	677.02
526.95	1.8820	2024.17	671.45
526.80	1.8660	2042.35	658.12
526.65	1.8450	2024.71	624.71
526.50	1.8060	2007.38	640.70
526.35	1.7770	1968.99	626.01
526.20	1.7530	1913.49	577.85
526.05	1.7310	1910.37	584.66
525.90	1.7140	1903.81	605.40
525.75	1.7050	1905.83	612.54
525.60	1.7190	1911.33	619.30
525.45	1.7310	1939.55	633.56
525.30	1.7480	1947.48	624.60
525.15	1.7540	1952.09	630.78
525.00	1.7600	1962.40	652.40
524.85	1.7720	1964.04	691.36
524.70	1.8010	1965.31	700.26
524.55	1.8320	1983.99	700.98
524.40	1.8480	1993.85	718.44
524.25	1.8560	1993.46	723.03
524.10	1.8360	1986.19	685.79
523.95	1.8150	1981.28	685.19
523.80	1.7890	1970.90	692.81
523.65	1.7870	1967.34	655.62
523.50	1.7890	1969.37	682.63
523.35	1.7950	1967.85	680.77
523.20	1.7950	1951.59	662.94
523.05	1.7860	1951.59	666.58
522.90	1.7840	1952.72	662.45
522.75	1.7950	1948.72	651.91
522.60	1.8040	1944.00	644.57
522.45	1.8040	1948.10	637.30
522.30	1.7950	1943.51	621.01
522.15	1.7730	1914.21	634.67
522.00	1.7480	1924.00	617.90
521.85	1.7330	1911.93	641.13
521.70	1.7450	1924.97	650.05
521.55	1.7680	1927.89	650.61
521.40	1.7950	1936.71	656.77
521.25	1.8210	1943.13	677.18
521.10	1.8380	1953.09	680.19
520.95	1.8300	1935.36	656.23
520.80	1.7890	1924.85	640.61
520.65	1.7400	1899.89	622.17
520.50	1.7070	1890.82	614.57
520.35	1.6980	1890.12	616.92
520.20	1.7040	1885.09	626.90
520.05	1.7150	1884.16	631.42
519.90	1.7150	1883.34	634.33
519.75	1.7080	1878.93	625.73
519.60	1.6970	1876.15	619.44
519.45	1.6930	1875.58	619.27
519.30	1.7000	1875.58	618.96
519.15	1.7080	1874.65	614.31
519.00	1.7140	1872.58	606.02
518.85	1.7130	1871.55	601.43
518.70	1.7010	1871.66	600.99
518.55	1.6710	1859.67	597.61
518.40	1.6300	1841.02	576.21
518.25	1.6010	1833.82	558.14
518.10	1.5970	1831.95	572.35
517.95	1.6180	1842.58	606.43
517.80	1.6450	1860.35	628.74
517.65	1.6730	1861.37	628.79
517.50	1.6870	1860.58	621.08
517.35	1.6790	1856.61	602.54
517.20	1.6540	1853.90	594.06
517.05	1.6320	1852.66	596.73
516.90	1.6290	1847.72	587.02
516.75	1.6430	1843.47	587.76
516.60	1.6650	1851.54	608.91
516.45	1.6900	1860.35	617.24
516.30	1.7050	1866.27	622.17
516.15	1.7140	1879.97	635.28
516.00	1.7050	1885.44	630.81
515.85	1.6980	1885.44	631.57
515.70	1.6900	1887.42	641.00
515.55	1.7030	1897.53	660.67
515.40	1.7130	1897.41	660.60
515.25	1.7250	1902.03	662.02
515.10	1.7350	1928.99	670.39
514.95	1.7490	1929.60	663.39
514.80	1.7590	1932.05	662.19
514.65	1.7620	1930.58	687.82
514.50	1.7440	1914.09	618.09
514.35	1.7150	1905.83	614.52
514.20	1.6620	1890.23	581.22
514.05	1.6300	1842.81	577.61
513.90	1.5990	1842.81	577.31
513.75	1.5930	1842.58	566.56
513.60	1.5900	1820.79	552.23
513.45	1.5910	1813.75	542.37
513.30	1.5950	1820.03	557.04
513.15	1.5890	1809.12	552.67
513.00	1.5900	1802.91	530.24
512.85	1.5800	1802.48	527.95
512.70	1.5710	1802.16	527.89
512.55	1.5580	1794.00	526.32
512.40	1.5500	1791.89	526.65
512.25	1.5480	1791.89	525.75
512.10	1.5480	1792.41	549.01
511.95	1.5470	1799.82	579.99
511.80	1.5560	1809.87	588.78
511.65	1.5750	1823.95	606.81
511.50	1.6000	1829.86	618.63
511.35	1.6210	1830.63	622.60
511.20	1.6330	1830.63	607.53
511.05	1.6410	1833.60	579.38
510.90	1.6390	1832.94	570.90
510.75	1.6270	1833.27	573.39
510.60	1.6100	1830.85	575.32
510.45	1.5930	1822.42	568.08
510.30	1.5800	1818.72	563.96
510.15	1.5720	1818.62	564.06
510.00	1.5720	1817.86	564.19
509.85	1.5730	1809.44	579.04
509.70	1.5760	1807.51	588.34
509.55	1.5820	1808.69	579.97
509.40	1.5940	1806.01	581.14
509.25	1.6100	1816.45	624.27
509.10	1.6270	1838.69	650.70
508.95	1.6480	1845.04	628.13
508.80	1.6780	1870.86	651.25
508.65	1.7140	1909.77	698.07
508.50	1.7460	1902.15	703.02
508.35	1.7640	1900.49	697.83
508.20	1.7540	1906.19	671.87
508.05	1.7310	1889.18	632.79
507.90	1.7060	1892.34	619.31
507.75	1.6910	1894.23	624.12
507.60	1.6800	1884.16	612.85
507.45	1.6720	1878.35	612.21
507.30	1.6680	1871.55	611.34
507.15	1.6760	1857.06	612.26
507.00	1.6780	1856.95	617.58
506.85	1.6790	1857.18	618.86
506.70	1.6850	1857.86	628.97
506.55	1.7070	1864.33	636.09
506.40	1.7310	1893.17	646.45
506.25	1.7500	1914.69	674.58
506.10	1.7640	1890.00	678.07
505.95	1.7780	1893.05	674.10
505.80	1.7870	1924.61	644.89
505.65	1.7860	1923.76	645.22
505.50	1.7720	1927.04	662.97
505.35	1.7520	1926.68	646.80
505.20	1.7240	1918.55	643.00
505.05	1.7170	1915.78	643.36
504.90	1.7160	1916.86	648.90
504.75	1.7380	1916.86	647.53
504.60	1.7550	1894.34	670.63
504.45	1.7640	1893.76	653.22
504.30	1.7520	1880.32	644.13
